id_1,id_2,page_1_name,page_2_name
1363,2754,Русские,Молдавия
1363,2114,Русские,Туркмения
1363,679,Русские,Приднестровье
1363,874,Русские,Луганская Народная Республика
1363,3897,Русские,ДНР
1363,2526,Русские,Русская диаспора
1363,4778,Русские,Русская диаспора в США
1363,2309,Русские,Канада
1363,724,Русские,Бразилия
1363,4018,Русские,Германия
1363,3031,Русские,Этнографическая группа
1363,1101,Русские,Горюны
1363,2350,Русские,Тудовляне
1363,1233,Русские,Цуканы
1363,1935,Русские,Субэтнос
1363,471,Русские,Казаки
1363,615,Русские,Полехи
1363,437,Русские,Поморы
1363,2305,Русские,Сибиряки
1363,3201,Русские,Этнорелигиозная группа
1363,2804,Русские,Духоборы
1363,2927,Русские,Липоване
1363,3764,Русские,Кержаки
1363,1969,Русские,Севернорусская этнографическая группа
1363,1446,Русские,Южнорусская этнографическая группа
1363,4385,Русские,"Зеленин, Дмитрий Константинович"
1363,969,Русские,Физическая антропология
1363,4154,Русские,Популяция
1363,3062,Русские,Эпикантус
1363,4018,Русские,Германия
1363,4682,Русские,Y-хромосома
1363,4682,Русские,Y-хромосома
1363,127,Русские,Восточные славяне
1363,3868,Русские,Западные славяне
1363,4769,Русские,Аромуны
1363,2750,Русские,Митохондриальная ДНК
1363,2859,Русские,Центральная Европа
1363,3532,Русские,Восточная Европа
1363,3222,Русские,Тюркские народы
1363,3263,Русские,Северокавказские языки
1363,1969,Русские,Севернорусская этнографическая группа
1363,3487,Русские,Балты
1363,1132,Русские,Прибалтийско-финские народы
4704,3030,Украинцы,Всеукраинская перепись населения 2001 года
4704,2533,Украинцы,Украинский язык
4704,127,Украинцы,Восточные славяне
4704,4477,Украинцы,Народ
4704,3113,Украинцы,Украина
4704,4662,Украинцы,Диаспора
4704,729,Украинцы,Россия
4704,704,Украинцы,США
4704,2309,Украинцы,Канада
4704,4254,Украинцы,Государство
4704,3336,Украинцы,Славяне
4704,1363,Украинцы,Русские
4704,4213,Украинцы,Поляки
4704,1487,Украинцы,Полещуки
4704,3901,Украинцы,Бойки
4704,4681,Украинцы,Гуцулы
4704,822,Украинцы,Лемки
4704,755,Украинцы,Киевская Русь
4704,497,Украинцы,Этноним
4704,127,Украинцы,Восточные славяне
4704,163,Украинцы,Русь
4704,1196,Украинцы,Повесть временных лет
4704,921,Украинцы,Вещий Олег
4704,1345,Украинцы,Игорь Рюрикович
4704,2939,Украинцы,Слово о полку Игоревом
4704,3635,Украинцы,Русичи
4704,4589,Украинцы,Белзское воеводство
4704,2047,Украинцы,Волынь
4704,3552,Украинцы,Запорожская Сечь
4704,3347,Украинцы,Гетманщина
4704,833,Украинцы,"Хмельницкий, Богдан Михайлович"
4704,3186,Украинцы,Гетман
4704,3464,Украинцы,"Апостол, Даниил Павлович"
4704,838,Украинцы,Кобзарь
4704,3667,Украинцы,Российская империя
4704,1994,Украинцы,Правобережная Украина
4704,1786,Украинцы,Подолье
4704,3303,Украинцы,"Руданский, Степан Васильевич"
4704,1418,Украинцы,Малороссия
4704,757,Украинцы,Царство Польское
4704,3006,Украинцы,Перепись населения Российской империи (1897)
4704,3596,Украинцы,Карпатская Русь
4704,2882,Украинцы,Буковина
4704,3158,Украинцы,Галиция
4704,194,Украинцы,Австро-Венгрия
4704,2047,Украинцы,Волынь
4704,1543,Украинцы,Холмщина
4704,3667,Украинцы,Российская империя
4704,3320,Украинцы,Словакия
4704,4542,Украинцы,Лемковщина
4704,3413,Украинцы,Паннонские русины
4704,2425,Украинцы,Венгрия
4704,1495,Украинцы,Румыния
4704,3265,Украинцы,Русины
4704,822,Украинцы,Лемки
4704,4529,Украинцы,1580-е
4704,4256,Украинцы,Львовское Успенское братство
4704,3887,Украинцы,Рутения
4704,3,Украинцы,Роксоланская концепция
4704,163,Украинцы,Русь
4704,1988,Украинцы,Россия (название)
4704,2155,Украинцы,Россияне
4704,2601,Украинцы,Иоанн Вишенский
4704,114,Украинцы,Иов Борецкий
4704,3486,Украинцы,Захария Копыстенский
4704,17,Украинцы,Иннокентий Гизель
4704,1139,Украинцы,Византия
4704,702,Украинцы,Великая Русь
4704,1667,Украинцы,Алексей Михайлович
4704,1587,Украинцы,Малороссийская идентичность
4704,596,Украинцы,Триединый русский народ
4704,4073,Украинцы,Название Украины
4704,3600,Украинцы,Древнерусский язык
4704,4288,Украинцы,Украинцы (жители пограничных земель)
4704,2355,Украинцы,XVIII век
4704,621,Украинцы,Великое княжество Литовское
4704,3665,Украинцы,Западнорусский письменный язык
4704,1848,Украинцы,Дикое поле
4704,3430,Украинцы,Речь Посполитая
4704,654,Украинцы,Юго-Западная Русь
4704,4552,Украинцы,Дикое Поле
4704,3113,Украинцы,Украина
4704,3916,Украинцы,Малая Русь
4704,3752,Украинцы,Шляхта
4704,3005,Украинцы,1596 год
4704,2301,Украинцы,Восстание Наливайко
4704,1602,Украинцы,Станислав Жолкевский
4704,2540,Украинцы,Солоницкий бой
4704,4045,Украинцы,"Гайда, Фёдор Александрович"
4704,1539,Украинцы,Восстание Хмельницкого
4704,3347,Украинцы,Гетманщина
4704,3109,Украинцы,"Выговский, Иван Евстафьевич"
4704,497,Украинцы,Этноним
4704,4658,Украинцы,Левобережная Украина
4704,4040,Украинцы,Северо-Восточная Русь
4704,4565,Украинцы,Русское царство
4704,4288,Украинцы,Украинцы (жители пограничных земель)
4704,2011,Украинцы,"Крижанич, Юрий"
4704,3937,Украинцы,"Шевченко, Тарас Григорьевич"
4704,1724,Украинцы,Коренизация
3621,3784,Белорусы,Белорусский язык
3621,127,Белорусы,Восточные славяне
3621,4477,Белорусы,Народ
3621,1618,Белорусы,Этнос
3621,2335,Белорусы,Нация
3621,4538,Белорусы,Белоруссия
3621,729,Белорусы,Россия
3621,3113,Белорусы,Украина
3621,2577,Белорусы,Польша
3621,4308,Белорусы,Латвия
3621,1785,Белорусы,Литва
3621,2616,Белорусы,СССР
3621,2577,Белорусы,Польша
3621,704,Белорусы,США
3621,4018,Белорусы,Германия
3621,240,Белорусы,Этногенез
3621,1932,Белорусы,Народность
3621,3081,Белорусы,"Штыхов, Георгий Васильевич"
3621,1498,Белорусы,"Ткачёв, Михаил Александрович"
3621,1618,Белорусы,Этнос
3621,83,Белорусы,XIII век
3621,4592,Белорусы,XVII
3621,2355,Белорусы,XVIII век
3621,4511,Белорусы,"Седов, Валентин Васильевич"
3621,1328,Белорусы,XIV век
3621,3441,Белорусы,"Гринблат, Моисей Яковлевич"
3621,3657,Белорусы,XVI век
3621,1075,Белорусы,Этническая территория белорусов
3621,829,Белорусы,1586 год
3621,3251,Белорусы,"Рысинский, Соломон"
3621,2653,Белорусы,Русское государство
3621,3430,Белорусы,Речь Посполитая
3621,621,Белорусы,Великое княжество Литовское
3621,1806,Белорусы,Русины (этноним прошлого)
3621,2310,Белорусы,Литвины
3621,1133,Белорусы,Перепись населения Белоруссии (2009)
3621,2909,Белорусы,Белорусы в России
3621,1739,Белорусы,Белорусы на Украине
3621,3840,Белорусы,Белорусы в Латвии
3621,3325,Белорусы,Белорусы в Польше
3621,1482,Белорусы,Подляское воеводство
3621,4557,Белорусы,Белорусы в Литве
3621,4584,Белорусы,Эстония
3621,2754,Белорусы,Молдавия
3621,1321,Белорусы,Казахстан
3621,237,Белорусы,Белорусы США
3621,2191,Белорусы,Белорусы в Канаде
3621,3274,Белорусы,Австралия
3621,4018,Белорусы,Германия
3621,3470,Белорусы,Чехия
3621,4739,Белорусы,Бельгия
3621,4229,Белорусы,XX век
3621,2948,Белорусы,Смоленская область
3621,4397,Белорусы,Брянская область
3621,3578,Белорусы,Псковская область
3621,4296,Белорусы,Тверская область
3621,2460,Белорусы,Белосток
3621,1663,Белорусы,Латгалия
3621,4284,Белорусы,Черниговская область
